SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
114,CT,Chhattisgarh,CT_Balod,Balod,53,3,50,0,0,0,0,0,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,256,20,236,0,0,0,0,0,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,146,16,130,0,0,0,0,0,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,75,26,49,0,0,0,0,0,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,40,32,7,1,0,0,0,0,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,4,2,2,0,0,0,0,0,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,247,58,187,2,0,0,0,0,0,,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,29,11,18,0,0,0,0,0,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,8,0,7,1,0,0,0,0,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,172,8,161,3,0,0,0,0,0,,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,47,7,40,0,0,0,0,0,0,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,276,43,232,1,0,0,0,0,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,189,56,133,0,0,0,0,0,0,,
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,110,10,100,0,0,0,0,0,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,3,0,3,0,0,0,0,0,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,323,19,304,0,0,0,0,0,0,,
130,CT,Chhattisgarh,CT_Koriya,Koriya,67,10,57,0,0,0,0,0,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,89,0,88,1,0,0,0,0,0,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,123,1,122,0,0,0,0,0,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,30,15,15,0,0,0,0,0,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,139,13,125,1,0,0,0,0,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,492,246,244,2,0,0,0,0,0,,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,321,40,279,2,0,0,0,0,0,,
137,CT,Chhattisgarh,CT_Sukma,Sukma,5,0,5,0,0,0,0,0,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,30,5,25,0,0,0,0,0,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,63,14,49,0,0,0,0,0,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,74,18,56,0,0,0,0,0,0,,
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,3,0,3,0,0,0,0,0,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,,
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,31,0,1,0,0,0,0,0,,
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,0,0,0,0,0,0,0,,
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,0,0,0,0,0,0,0,,
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,0,0,0,0,0,0,0,,
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,0,0,0,0,0,0,0,,
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,0,0,0,0,0,0,0,,
0,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Other State,Other State,0,0,0,0,0,0,0,0,0,,
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,200,103,94,0,3,0,0,0,0,,
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,192,115,77,0,0,0,0,0,0,,
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,23,11,12,0,0,0,0,0,0,,
0,GA,Goa,GA_Other State,Other State,133,116,17,0,0,0,0,0,0,"Travelled by Road,Train,Flight",
155,GA,Goa,GA_North Goa,North Goa,349,244,102,3,0,0,0,0,0,,
156,GA,Goa,GA_South Goa,South Goa,966,379,582,5,0,0,0,0,0,,
0,GJ,Gujarat,GJ_Other State,Other State,86,61,24,1,0,0,0,0,0,,
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,22262,3573,17193,1496,0,0,0,0,0,,
158,GJ,Gujarat,GJ_Amreli,Amreli,111,55,48,8,0,0,0,0,0,,
159,GJ,Gujarat,GJ_Anand,Anand,256,27,216,13,0,0,0,0,0,,
160,GJ,Gujarat,GJ_Aravalli,Aravalli,235,23,190,22,0,0,0,0,0,,
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,264,74,176,14,0,0,0,0,0,,
162,GJ,Gujarat,GJ_Bharuch,Bharuch,329,156,163,10,0,0,0,0,0,,
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,394,192,189,13,0,0,0,0,0,,
164,GJ,Gujarat,GJ_Botad,Botad,105,33,69,3,0,0,0,0,0,,
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,66,14,50,2,0,0,0,0,0,,
167,GJ,Gujarat,GJ_Dahod,Dahod,85,35,49,1,0,0,0,0,0,,
187,GJ,Gujarat,GJ_Dang,Dang,4,0,4,0,0,0,0,0,0,,
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,28,7,18,3,0,0,0,0,0,,
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,754,160,563,31,0,0,0,0,0,,
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,94,42,51,1,0,0,0,0,0,,
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,289,124,158,7,0,0,0,0,0,,
171,GJ,Gujarat,GJ_Junagadh,Junagadh,198,128,67,3,0,0,0,0,0,,
173,GJ,Gujarat,GJ_Kheda,Kheda,228,74,140,14,0,0,0,0,0,,
172,GJ,Gujarat,GJ_Kutch,Kutch,209,93,110,6,0,0,0,0,0,,
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,161,41,118,2,0,0,0,0,0,,
174,GJ,Gujarat,GJ_Mehsana,Mehsana,344,166,164,14,0,0,0,0,0,,
176,GJ,Gujarat,GJ_Morbi,Morbi,48,27,19,2,0,0,0,0,0,,
177,GJ,Gujarat,GJ_Narmada,Narmada,96,8,88,0,0,0,0,0,0,,
178,GJ,Gujarat,GJ_Navsari,Navsari,166,83,82,1,0,0,0,0,0,,
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,220,47,158,15,0,0,0,0,0,,
180,GJ,Gujarat,GJ_Patan,Patan,254,96,141,17,0,0,0,0,0,,
181,GJ,Gujarat,GJ_Porbandar,Porbandar,21,4,15,2,0,0,0,0,0,,
182,GJ,Gujarat,GJ_Rajkot,Rajkot,470,290,166,14,0,0,0,0,0,,
183,GJ,Gujarat,GJ_Sabarkantha,Sabarkantha,211,72,131,8,0,0,0,0,0,,
184,GJ,Gujarat,GJ_Surat,Surat,6458,2184,4083,191,0,0,0,0,0,,
185,GJ,Gujarat,GJ_Surendranagar,Surendranagar,211,90,111,10,0,0,0,0,0,,
186,GJ,Gujarat,GJ_Tapi,Tapi,28,20,8,0,0,0,0,0,0,,
188,GJ,Gujarat,GJ_Vadodara,Vadodara,2701,755,1897,49,0,0,0,0,0,,
189,GJ,Gujarat,GJ_Valsad,Valsad,250,160,85,5,0,0,0,0,0,,
212,HP,Himachal Pradesh,HP_Bilaspur,Bilaspur,48,14,34,0,0,0,0,0,0,,
213,HP,Himachal Pradesh,HP_Chamba,Chamba,58,10,47,0,1,0,0,0,0,,
214,HP,Himachal Pradesh,HP_Hamirpur,Hamirpur,267,61,203,3,0,0,0,0,0,,
215,HP,Himachal Pradesh,HP_Kangra,Kangra,291,67,221,3,0,0,0,0,0,Death of Tibetan refugee on March 22 included in Kangra district's tally,
216,HP,Himachal Pradesh,HP_Kinnaur,Kinnaur,34,31,3,0,0,0,0,0,0,,
217,HP,Himachal Pradesh,HP_Kullu,Kullu,7,2,5,0,0,0,0,0,0,,
218,HP,Himachal Pradesh,HP_Lahaul and Spiti,Lahaul and Spiti,4,4,0,0,0,0,0,0,0,,
219,HP,Himachal Pradesh,HP_Mandi,Mandi,36,8,26,2,0,0,0,0,0,,
220,HP,Himachal Pradesh,HP_Shimla,Shimla,49,9,37,2,1,0,0,0,0,,
221,HP,Himachal Pradesh,HP_Sirmaur,Sirmaur,40,7,26,0,7,0,0,0,0,,
222,HP,Himachal Pradesh,HP_Solan,Solan,120,40,76,0,4,0,0,0,0,,
223,HP,Himachal Pradesh,HP_Una,Una,129,30,99,0,0,0,0,0,0,,
0,HR,Haryana,HR_Foreign Evacuees,Foreign Evacuees,21,0,21,0,0,0,0,0,0,,
190,HR,Haryana,HR_Ambala,Ambala,378,42,332,4,0,0,0,0,0,,
191,HR,Haryana,HR_Bhiwani,Bhiwani,543,138,401,4,0,0,0,0,0,,
192,HR,Haryana,HR_Charkhi Dadri,Charkhi Dadri,87,41,45,1,0,0,0,0,0,,
193,HR,Haryana,HR_Faridabad,Faridabad,4770,881,3794,95,0,0,0,0,0,,
194,HR,Haryana,HR_Fatehabad,Fatehabad,129,23,106,0,0,0,0,0,0,,
195,HR,Haryana,HR_Gurugram,Gurugram,6183,963,5118,102,0,0,0,0,0,,
196,HR,Haryana,HR_Hisar,Hisar,292,91,194,7,0,0,0,0,0,,
0,HR,Haryana,HR_Italians,Italians,14,0,14,0,0,0,0,0,0,,
197,HR,Haryana,HR_Jhajjar,Jhajjar,377,126,247,4,0,0,0,0,0,,
198,HR,Haryana,HR_Jind,Jind,133,38,91,4,0,0,0,0,0,,
199,HR,Haryana,HR_Kaithal,Kaithal,119,64,55,0,0,0,0,0,0,,
200,HR,Haryana,HR_Karnal,Karnal,421,164,249,8,0,0,0,0,0,,
201,HR,Haryana,HR_Kurukshetra,Kurukshetra,177,59,117,1,0,0,0,0,0,,
202,HR,Haryana,HR_Mahendragarh,Mahendragarh,322,78,243,1,0,0,0,0,0,,
203,HR,Haryana,HR_Nuh,Nuh,256,65,190,1,0,0,0,0,0,,
204,HR,Haryana,HR_Palwal,Palwal,379,103,273,3,0,0,0,0,0,,
205,HR,Haryana,HR_Panchkula,Panchkula,124,18,106,0,0,0,0,0,0,,
206,HR,Haryana,HR_Panipat,Panipat,267,105,155,7,0,0,0,0,0,,
207,HR,Haryana,HR_Rewari,Rewari,396,250,141,5,0,0,0,0,0,,
208,HR,Haryana,HR_Rohtak,Rohtak,772,227,533,12,0,0,0,0,0,,
209,HR,Haryana,HR_Sirsa,Sirsa,141,41,100,0,0,0,0,0,0,,
210,HR,Haryana,HR_Sonipat,Sonipat,1577,532,1025,20,0,0,0,0,0,,
211,HR,Haryana,HR_Yamunanagar,Yamunanagar,121,26,95,0,0,0,0,0,0,,
246,JH,Jharkhand,JH_Bokaro,Bokaro,52,16,34,2,0,0,0,0,0,,
247,JH,Jharkhand,JH_Chatra,Chatra,57,5,52,0,0,0,0,0,0,,
248,JH,Jharkhand,JH_Deoghar,Deoghar,54,13,41,0,0,0,0,0,0,,
249,JH,Jharkhand,JH_Dhanbad,Dhanbad,219,94,122,3,0,0,0,0,0,,
250,JH,Jharkhand,JH_Dumka,Dumka,13,6,7,0,0,0,0,0,0,,
264,JH,Jharkhand,JH_East Singhbhum,East Singhbhum,573,319,252,2,0,0,0,0,0,,
251,JH,Jharkhand,JH_Garhwa,Garhwa,112,15,97,0,0,0,0,0,0,,
252,JH,Jharkhand,JH_Giridih,Giridih,104,16,86,2,0,0,0,0,0,,
253,JH,Jharkhand,JH_Godda,Godda,11,3,8,0,0,0,0,0,0,,
254,JH,Jharkhand,JH_Gumla,Gumla,119,22,96,1,0,0,0,0,0,,
255,JH,Jharkhand,JH_Hazaribagh,Hazaribagh,213,41,169,3,0,0,0,0,0,,
256,JH,Jharkhand,JH_Jamtara,Jamtara,28,0,28,0,0,0,0,0,0,,
257,JH,Jharkhand,JH_Khunti,Khunti,32,4,27,1,0,0,0,0,0,,
258,JH,Jharkhand,JH_Koderma,Koderma,211,48,162,1,0,0,0,0,0,,
259,JH,Jharkhand,JH_Latehar,Latehar,61,8,53,0,0,0,0,0,0,,
260,JH,Jharkhand,JH_Lohardaga,Lohardaga,75,26,49,0,0,0,0,0,0,,
261,JH,Jharkhand,JH_Pakur,Pakur,35,4,31,0,0,0,0,0,0,,
262,JH,Jharkhand,JH_Palamu,Palamu,71,11,60,0,0,0,0,0,0,,
265,JH,Jharkhand,JH_Ramgarh,Ramgarh,150,28,122,0,0,0,0,0,0,,
266,JH,Jharkhand,JH_Ranchi,Ranchi,298,125,169,4,0,0,0,0,0,,
267,JH,Jharkhand,JH_Sahibganj,Sahibganj,17,12,3,2,0,0,0,0,0,,
268,JH,Jharkhand,JH_Saraikela-Kharsawan,Saraikela-Kharsawan,88,51,37,0,0,0,0,0,0,,
269,JH,Jharkhand,JH_Simdega,Simdega,356,4,351,1,0,0,0,0,0,,
263,JH,Jharkhand,JH_West Singhbhum,West Singhbhum,69,21,48,0,0,0,0,0,0,,
224,JK,Jammu and Kashmir,JK_Anantnag,Anantnag,729,153,564,12,0,0,0,0,0,,
226,JK,Jammu and Kashmir,JK_Bandipora,Bandipora,316,31,282,3,0,0,0,0,0,,
227,JK,Jammu and Kashmir,JK_Baramulla,Baramulla,1094,616,450,28,0,0,0,0,0,,
225,JK,Jammu and Kashmir,JK_Budgam,Budgam,499,205,284,10,0,0,0,0,0,,
228,JK,Jammu and Kashmir,JK_Doda,Doda,106,43,61,2,0,0,0,0,0,,
229,JK,Jammu and Kashmir,JK_Ganderbal,Ganderbal,134,55,78,1,0,0,0,0,0,,
230,JK,Jammu and Kashmir,JK_Jammu,Jammu,415,97,310,8,0,0,0,0,0,,
231,JK,Jammu and Kashmir,JK_Kathua,Kathua,260,64,195,1,0,0,0,0,0,,
232,JK,Jammu and Kashmir,JK_Kishtwar,Kishtwar,39,16,23,0,0,0,0,0,0,,
233,JK,Jammu and Kashmir,JK_Kulgam,Kulgam,924,293,614,17,0,0,0,0,0,,
234,JK,Jammu and Kashmir,JK_Kupwara,Kupwara,625,183,435,7,0,0,0,0,0,,
235,JK,Jammu and Kashmir,JK_Mirpur,Mirpur,0,0,0,0,0,0,0,0,0,,
236,JK,Jammu and Kashmir,JK_Muzaffarabad,Muzaffarabad,0,0,0,0,0,0,0,0,0,,
237,JK,Jammu and Kashmir,JK_Pulwama,Pulwama,588,313,271,4,0,0,0,0,0,,
238,JK,Jammu and Kashmir,JK_Punch,Punch,132,16,115,1,0,0,0,0,0,,
239,JK,Jammu and Kashmir,JK_Rajouri,Rajouri,148,76,71,1,0,0,0,0,0,,
240,JK,Jammu and Kashmir,JK_Ramban,Ramban,241,54,187,0,0,0,0,0,0,,
241,JK,Jammu and Kashmir,JK_Reasi,Reasi,48,13,35,0,0,0,0,0,0,,
242,JK,Jammu and Kashmir,JK_Samba,Samba,201,78,123,0,0,0,0,0,0,,
243,JK,Jammu and Kashmir,JK_Shopiyan,Shopiyan,862,220,629,13,0,0,0,0,0,,
244,JK,Jammu and Kashmir,JK_Srinagar,Srinagar,1277,778,465,34,0,0,0,0,0,,
245,JK,Jammu and Kashmir,JK_Udhampur,Udhampur,293,85,207,1,0,0,0,0,0,,
270,KA,Karnataka,KA_Bagalkote,Bagalkote,289,141,141,7,0,0,0,0,0,,
271,KA,Karnataka,KA_Ballari,Ballari,1388,755,597,36,0,0,0,0,0,,
