SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
95,BR,Bihar,BR_Munger,Munger,408,100,307,1,0,12,8,4,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,489,150,335,4,0,45,29,16,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,369,172,192,5,0,22,15,7,0,,
98,BR,Bihar,BR_Nawada,Nawada,360,81,276,3,0,21,17,4,0,,
100,BR,Bihar,BR_Patna,Patna,1003,469,522,12,0,38,-18,56,0,,
102,BR,Bihar,BR_Purnia,Purnia,310,32,278,0,0,0,-1,1,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,371,41,325,5,0,1,0,1,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,265,98,167,0,0,9,9,0,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,373,74,295,4,0,5,-11,16,0,,
106,BR,Bihar,BR_Saran,Saran,267,71,191,5,0,5,4,1,0,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,170,39,131,0,0,3,3,0,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,99,15,83,1,0,3,-2,5,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,153,24,126,3,0,3,3,0,0,,
110,BR,Bihar,BR_Siwan,Siwan,482,88,392,2,0,10,10,0,0,,
111,BR,Bihar,BR_Supaul,Supaul,275,27,248,0,0,3,-4,7,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,245,101,141,3,0,29,28,1,0,,
99,BR,Bihar,BR_West Champaran,West Champaran,282,108,172,2,0,18,9,9,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,466,65,395,6,0,7,7,0,0,,
0,CT,Chhattisgarh,CT_Other State,Other State,1,0,1,0,0,0,0,0,0,,
114,CT,Chhattisgarh,CT_Balod,Balod,53,7,46,0,0,0,0,0,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,245,23,222,0,0,0,0,0,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,145,22,123,0,0,0,0,0,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,71,23,48,0,0,0,0,0,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,23,15,7,1,0,0,0,0,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,2,1,1,0,0,0,0,0,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,224,47,175,2,0,0,0,0,0,,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,26,22,4,0,0,0,0,0,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,8,0,7,1,0,0,0,0,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,169,41,125,3,0,0,0,0,0,,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,41,14,27,0,0,0,0,0,0,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,249,19,229,1,0,0,0,0,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,189,65,124,0,0,0,0,0,0,,
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,110,16,94,0,0,0,0,0,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,3,0,3,0,0,0,0,0,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,308,9,299,0,0,0,0,0,0,,
130,CT,Chhattisgarh,CT_Koriya,Koriya,61,5,56,0,0,0,0,0,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,88,5,82,1,0,0,0,0,0,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,123,2,121,0,0,0,0,0,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,23,13,10,0,0,0,0,0,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,132,25,106,1,0,0,0,0,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,412,185,225,2,0,0,0,0,0,,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,299,35,262,2,0,0,0,0,0,,
137,CT,Chhattisgarh,CT_Sukma,Sukma,5,0,5,0,0,0,0,0,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,24,3,21,0,0,0,0,0,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,58,9,49,0,0,0,0,0,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,66,15,51,0,0,0,0,0,0,,
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,3,0,3,0,0,0,0,0,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,,
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,31,0,1,0,0,0,0,0,,
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,0,0,0,0,0,0,0,,
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,0,0,0,0,0,0,0,,
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,0,0,0,0,0,0,0,,
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,0,0,0,0,0,0,0,,
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,0,0,0,0,0,0,0,,
0,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Other State,Other State,0,0,0,0,0,0,0,0,0,,
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,186,105,78,0,3,13,3,10,0,,
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,172,102,70,0,0,19,12,7,0,,
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,15,4,11,0,0,0,0,0,0,,
0,GA,Goa,GA_Other State,Other State,125,108,17,0,0,0,0,0,0,"Travelled by Road,Train,Flight",
155,GA,Goa,GA_North Goa,North Goa,232,146,84,2,0,0,0,0,0,,
156,GA,Goa,GA_South Goa,South Goa,925,599,322,4,0,0,0,0,0,,
0,GJ,Gujarat,GJ_Other State,Other State,86,77,8,1,0,0,0,0,0,,
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,21715,3627,16613,1475,0,0,0,0,0,,
158,GJ,Gujarat,GJ_Amreli,Amreli,97,43,46,8,0,0,0,0,0,,
159,GJ,Gujarat,GJ_Anand,Anand,245,22,210,13,0,0,0,0,0,,
160,GJ,Gujarat,GJ_Aravalli,Aravalli,224,25,179,20,0,0,0,0,0,,
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,220,53,155,12,0,0,0,0,0,,
162,GJ,Gujarat,GJ_Bharuch,Bharuch,281,133,138,10,0,0,0,0,0,,
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,322,154,155,13,0,0,0,0,0,,
164,GJ,Gujarat,GJ_Botad,Botad,99,27,69,3,0,0,0,0,0,,
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,60,15,43,2,0,0,0,0,0,,
167,GJ,Gujarat,GJ_Dahod,Dahod,66,16,49,1,0,0,0,0,0,,
187,GJ,Gujarat,GJ_Dang,Dang,4,0,4,0,0,0,0,0,0,,
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,26,8,16,2,0,0,0,0,0,,
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,708,159,520,29,0,0,0,0,0,,
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,85,35,49,1,0,0,0,0,0,,
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,266,141,121,4,0,0,0,0,0,,
171,GJ,Gujarat,GJ_Junagadh,Junagadh,157,97,57,3,0,0,0,0,0,,
173,GJ,Gujarat,GJ_Kheda,Kheda,196,60,125,11,0,0,0,0,0,,
172,GJ,Gujarat,GJ_Kutch,Kutch,182,77,99,6,0,0,0,0,0,,
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,149,29,118,2,0,0,0,0,0,,
174,GJ,Gujarat,GJ_Mehsana,Mehsana,308,138,156,14,0,0,0,0,0,,
176,GJ,Gujarat,GJ_Morbi,Morbi,34,16,17,1,0,0,0,0,0,,
177,GJ,Gujarat,GJ_Narmada,Narmada,94,26,68,0,0,0,0,0,0,,
178,GJ,Gujarat,GJ_Navsari,Navsari,142,79,62,1,0,0,0,0,0,,
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,202,38,149,15,0,0,0,0,0,,
180,GJ,Gujarat,GJ_Patan,Patan,235,93,126,16,0,0,0,0,0,,
181,GJ,Gujarat,GJ_Porbandar,Porbandar,21,6,13,2,0,0,0,0,0,,
182,GJ,Gujarat,GJ_Rajkot,Rajkot,367,203,151,13,0,0,0,0,0,,
183,GJ,Gujarat,GJ_Sabarkantha,Sabarkantha,193,67,118,8,0,0,0,0,0,,
184,GJ,Gujarat,GJ_Surat,Surat,5714,1723,3815,176,0,0,0,0,0,,
185,GJ,Gujarat,GJ_Surendranagar,Surendranagar,186,80,96,10,0,0,0,0,0,,
186,GJ,Gujarat,GJ_Tapi,Tapi,12,4,8,0,0,0,0,0,0,,
188,GJ,Gujarat,GJ_Vadodara,Vadodara,2504,658,1797,49,0,0,0,0,0,,
189,GJ,Gujarat,GJ_Valsad,Valsad,198,129,64,5,0,0,0,0,0,,
212,HP,Himachal Pradesh,HP_Bilaspur,Bilaspur,47,18,29,0,0,0,0,0,0,,
213,HP,Himachal Pradesh,HP_Chamba,Chamba,54,7,46,0,1,0,0,0,0,,
214,HP,Himachal Pradesh,HP_Hamirpur,Hamirpur,265,78,184,3,0,0,-6,6,0,,
215,HP,Himachal Pradesh,HP_Kangra,Kangra,284,84,197,3,0,1,-3,4,0,Death of Tibetan refugee on March 22 included in Kangra district's tally,
216,HP,Himachal Pradesh,HP_Kinnaur,Kinnaur,34,31,3,0,0,0,0,0,0,,
217,HP,Himachal Pradesh,HP_Kullu,Kullu,5,0,5,0,0,0,0,0,0,,
218,HP,Himachal Pradesh,HP_Lahaul and Spiti,Lahaul and Spiti,4,4,0,0,0,0,0,0,0,,
219,HP,Himachal Pradesh,HP_Mandi,Mandi,35,10,23,2,0,1,1,0,0,,
220,HP,Himachal Pradesh,HP_Shimla,Shimla,47,12,32,2,1,0,0,0,0,,
221,HP,Himachal Pradesh,HP_Sirmaur,Sirmaur,40,7,26,0,7,0,0,0,0,,
222,HP,Himachal Pradesh,HP_Solan,Solan,114,36,74,0,4,0,-8,8,0,,
223,HP,Himachal Pradesh,HP_Una,Una,119,23,96,0,0,0,-1,1,0,,
0,HR,Haryana,HR_Foreign Evacuees,Foreign Evacuees,21,0,21,0,0,0,0,0,0,,
190,HR,Haryana,HR_Ambala,Ambala,358,40,315,3,0,0,0,0,0,,
191,HR,Haryana,HR_Bhiwani,Bhiwani,485,144,338,3,0,3,-150,153,0,,
192,HR,Haryana,HR_Charkhi Dadri,Charkhi Dadri,87,41,45,1,0,0,0,0,0,,
193,HR,Haryana,HR_Faridabad,Faridabad,4364,756,3519,89,0,0,0,0,0,,
194,HR,Haryana,HR_Fatehabad,Fatehabad,127,28,99,0,0,5,0,5,0,,
195,HR,Haryana,HR_Gurugram,Gurugram,5879,1226,4554,99,0,50,-7,57,0,,
196,HR,Haryana,HR_Hisar,Hisar,264,65,192,7,0,0,0,0,0,,
0,HR,Haryana,HR_Italians,Italians,14,0,14,0,0,0,0,0,0,,
197,HR,Haryana,HR_Jhajjar,Jhajjar,334,117,213,4,0,6,6,0,0,,
198,HR,Haryana,HR_Jind,Jind,119,24,91,4,0,0,0,0,0,,
199,HR,Haryana,HR_Kaithal,Kaithal,110,56,54,0,0,0,0,0,0,,
200,HR,Haryana,HR_Karnal,Karnal,390,133,249,8,0,0,0,0,0,,
201,HR,Haryana,HR_Kurukshetra,Kurukshetra,156,44,112,0,0,19,14,5,0,,
202,HR,Haryana,HR_Mahendragarh,Mahendragarh,291,90,200,1,0,0,0,0,0,,
203,HR,Haryana,HR_Nuh,Nuh,241,66,175,0,0,0,0,0,0,,
204,HR,Haryana,HR_Palwal,Palwal,352,92,257,3,0,5,0,5,0,,
205,HR,Haryana,HR_Panchkula,Panchkula,120,22,98,0,0,0,-3,3,0,,
206,HR,Haryana,HR_Panipat,Panipat,244,95,142,7,0,19,11,8,0,,
207,HR,Haryana,HR_Rewari,Rewari,386,267,114,5,0,34,34,0,0,,
208,HR,Haryana,HR_Rohtak,Rohtak,656,115,533,8,0,0,0,0,0,,
209,HR,Haryana,HR_Sirsa,Sirsa,119,27,92,0,0,0,0,0,0,,
210,HR,Haryana,HR_Sonipat,Sonipat,1466,477,971,18,0,0,0,0,0,,
211,HR,Haryana,HR_Yamunanagar,Yamunanagar,107,12,95,0,0,1,1,0,0,,
246,JH,Jharkhand,JH_Bokaro,Bokaro,50,14,34,2,0,0,0,0,0,,
247,JH,Jharkhand,JH_Chatra,Chatra,54,6,48,0,0,0,0,0,0,,
248,JH,Jharkhand,JH_Deoghar,Deoghar,49,14,35,0,0,0,0,0,0,,
249,JH,Jharkhand,JH_Dhanbad,Dhanbad,183,61,122,0,0,0,0,0,0,,
250,JH,Jharkhand,JH_Dumka,Dumka,13,6,7,0,0,0,0,0,0,,
264,JH,Jharkhand,JH_East Singhbhum,East Singhbhum,480,233,246,1,0,0,0,0,0,,
251,JH,Jharkhand,JH_Garhwa,Garhwa,111,14,97,0,0,0,0,0,0,,
252,JH,Jharkhand,JH_Giridih,Giridih,103,21,80,2,0,0,0,0,0,,
253,JH,Jharkhand,JH_Godda,Godda,11,3,8,0,0,0,0,0,0,,
254,JH,Jharkhand,JH_Gumla,Gumla,119,37,81,1,0,0,0,0,0,,
255,JH,Jharkhand,JH_Hazaribagh,Hazaribagh,202,31,168,3,0,0,0,0,0,,
256,JH,Jharkhand,JH_Jamtara,Jamtara,28,0,28,0,0,0,0,0,0,,
257,JH,Jharkhand,JH_Khunti,Khunti,31,3,27,1,0,0,0,0,0,,
258,JH,Jharkhand,JH_Koderma,Koderma,194,42,151,1,0,0,0,0,0,,
259,JH,Jharkhand,JH_Latehar,Latehar,59,6,53,0,0,0,0,0,0,,
260,JH,Jharkhand,JH_Lohardaga,Lohardaga,60,15,45,0,0,0,0,0,0,,
261,JH,Jharkhand,JH_Pakur,Pakur,34,4,30,0,0,0,0,0,0,,
262,JH,Jharkhand,JH_Palamu,Palamu,66,7,59,0,0,0,0,0,0,,
265,JH,Jharkhand,JH_Ramgarh,Ramgarh,122,7,115,0,0,0,0,0,0,,
266,JH,Jharkhand,JH_Ranchi,Ranchi,260,89,167,4,0,0,0,0,0,,
267,JH,Jharkhand,JH_Sahibganj,Sahibganj,16,11,3,2,0,0,0,0,0,,
268,JH,Jharkhand,JH_Saraikela-Kharsawan,Saraikela-Kharsawan,80,45,35,0,0,0,0,0,0,,
269,JH,Jharkhand,JH_Simdega,Simdega,353,4,348,1,0,0,0,0,0,,
263,JH,Jharkhand,JH_West Singhbhum,West Singhbhum,61,13,48,0,0,0,0,0,0,,
224,JK,Jammu and Kashmir,JK_Anantnag,Anantnag,717,153,554,10,0,0,0,0,0,,
226,JK,Jammu and Kashmir,JK_Bandipora,Bandipora,303,28,274,1,0,0,0,0,0,,
227,JK,Jammu and Kashmir,JK_Baramulla,Baramulla,1006,563,421,22,0,0,0,0,0,,
225,JK,Jammu and Kashmir,JK_Budgam,Budgam,466,216,241,9,0,0,0,0,0,,
228,JK,Jammu and Kashmir,JK_Doda,Doda,90,28,60,2,0,0,0,0,0,,
229,JK,Jammu and Kashmir,JK_Ganderbal,Ganderbal,121,58,62,1,0,0,0,0,0,,
230,JK,Jammu and Kashmir,JK_Jammu,Jammu,388,79,301,8,0,0,0,0,0,,
231,JK,Jammu and Kashmir,JK_Kathua,Kathua,242,64,177,1,0,0,0,0,0,,
232,JK,Jammu and Kashmir,JK_Kishtwar,Kishtwar,29,8,21,0,0,0,0,0,0,,
233,JK,Jammu and Kashmir,JK_Kulgam,Kulgam,854,240,598,16,0,0,0,0,0,,
234,JK,Jammu and Kashmir,JK_Kupwara,Kupwara,584,159,418,7,0,0,0,0,0,,
235,JK,Jammu and Kashmir,JK_Mirpur,Mirpur,0,0,0,0,0,0,0,0,0,,
236,JK,Jammu and Kashmir,JK_Muzaffarabad,Muzaffarabad,0,0,0,0,0,0,0,0,0,,
237,JK,Jammu and Kashmir,JK_Pulwama,Pulwama,534,263,267,4,0,0,0,0,0,,
238,JK,Jammu and Kashmir,JK_Punch,Punch,124,10,113,1,0,0,0,0,0,,
239,JK,Jammu and Kashmir,JK_Rajouri,Rajouri,122,53,68,1,0,0,0,0,0,,
240,JK,Jammu and Kashmir,JK_Ramban,Ramban,226,39,187,0,0,0,0,0,0,,
241,JK,Jammu and Kashmir,JK_Reasi,Reasi,45,13,32,0,0,0,0,0,0,,
242,JK,Jammu and Kashmir,JK_Samba,Samba,168,48,120,0,0,0,0,0,0,,
243,JK,Jammu and Kashmir,JK_Shopiyan,Shopiyan,848,224,611,13,0,0,0,0,0,,
244,JK,Jammu and Kashmir,JK_Srinagar,Srinagar,1091,638,423,30,0,0,0,0,0,,
245,JK,Jammu and Kashmir,JK_Udhampur,Udhampur,288,92,195,1,0,0,0,0,0,,
270,KA,Karnataka,KA_Bagalkote,Bagalkote,226,98,123,5,0,0,0,0,0,,
271,KA,Karnataka,KA_Ballari,Ballari,1154,605,515,34,0,0,0,0,0,,
